Order ID,Order Date,Product,Units,Unit Price,Discount,Revenue
ORD-0086,2026-07-09,Smartwatch,2,5561.83,0.05,10567.48
ORD-0105,2026-07-09,SSD 1TB,1,7554.79,0.0,7554.79
ORD-0137,2026-07-09,External HDD,1,6172.44,0.0,6172.44
ORD-0008,2026-07-10,Power Bank,1,1900.98,0.05,1805.93
ORD-0023,2026-07-10,Smartwatch,1,5629.57,0.0,5629.57
ORD-0066,2026-07-10,Printer,2,11965.81,0.0,23931.62
ORD-0118,2026-07-10,Monitor,1,14455.05,0.0,14455.05
ORD-0139,2026-07-12,Headphones,2,3387.8,0.0,6775.6
ORD-0148,2026-07-12,Headphones,1,3478.25,0.08,3199.99
ORD-0054,2026-07-13,Webcam,2,2880.3,0.05,5472.57
ORD-0079,2026-07-15,USB Hub,1,1468.95,0.0,1468.95
ORD-0044,2026-07-16,Mechanical Keyboard,2,4537.87,0.0,9075.74
ORD-0078,2026-07-17,Keyboard,1,2178.06,0.02,2134.5
ORD-0112,2026-07-17,Laptop,1,65870.04,0.1,59283.04
ORD-0040,2026-07-18,Tablet,1,22709.23,0.05,21573.77
ORD-0057,2026-07-18,Power Bank,2,1811.92,0.0,3623.84
ORD-0020,2026-07-19,Mechanical Keyboard,1,4963.53,0.02,4864.26
ORD-0029,2026-07-19,Smartwatch,1,5735.37,0.0,5735.37
ORD-0056,2026-07-19,WiFi Adapter,1,1160.14,0.05,1102.13
ORD-0101,2026-07-19,Laptop,2,61962.59,0.05,117728.92
ORD-0140,2026-07-19,Monitor,1,14488.32,0.02,14198.55
ORD-0043,2026-07-20,WiFi Adapter,2,1101.99,0.0,2203.98
ORD-0070,2026-07-20,Gaming Chair,1,14068.83,0.08,12943.32
ORD-0130,2026-07-20,Smartwatch,1,5715.93,0.0,5715.93
ORD-0149,2026-07-20,Webcam,1,2725.42,0.0,2725.42
ORD-0009,2026-07-21,Webcam,1,2695.66,0.02,2641.75
ORD-0093,2026-07-21,Smartwatch,2,5348.55,0.05,10162.24
ORD-0025,2026-07-23,USB Hub,1,1583.14,0.0,1583.14
ORD-0094,2026-07-23,Bluetooth Speaker,1,3064.75,0.0,3064.75
ORD-0143,2026-07-23,Smartwatch,1,5727.36,0.0,5727.36
ORD-0063,2026-07-24,Tablet,1,22970.18,0.05,21821.67
ORD-0080,2026-07-24,Webcam,1,2950.82,0.0,2950.82
ORD-0097,2026-07-24,Tablet,3,23191.15,0.05,66094.78
ORD-0134,2026-07-25,Bluetooth Speaker,1,3088.28,0.0,3088.28
ORD-0121,2026-07-26,Monitor,1,14181.65,0.02,13898.02
ORD-0045,2026-07-27,Mouse,3,1235.8,0.08,3410.81
ORD-0120,2026-07-27,USB Hub,1,1484.13,0.02,1454.45
ORD-0125,2026-07-27,Monitor,1,14522.17,0.0,14522.17
ORD-0011,2026-07-28,Mechanical Keyboard,2,4691.92,0.05,8914.65
ORD-0024,2026-07-28,SSD 1TB,1,7312.56,0.0,7312.56
ORD-0038,2026-07-28,Gaming Chair,1,14141.78,0.05,13434.69
ORD-0015,2026-07-29,Router,1,4005.72,0.0,4005.72
ORD-0060,2026-07-29,Webcam,1,2668.67,0.0,2668.67
ORD-0064,2026-07-29,Mouse,1,1235.43,0.0,1235.43
ORD-0037,2026-07-30,Power Bank,1,1804.47,0.0,1804.47
ORD-0144,2026-07-30,Headphones,1,3502.01,0.08,3221.85
ORD-0036,2026-07-31,Mouse,1,1210.33,0.08,1113.5
ORD-0128,2026-07-31,Printer,1,13012.99,0.0,13012.99
ORD-0146,2026-07-31,Router,1,4148.87,0.0,4148.87
ORD-0073,2026-08-02,Mechanical Keyboard,1,4541.93,0.05,4314.83
ORD-0127,2026-08-02,Smartwatch,1,5722.67,0.0,5722.67
ORD-0135,2026-08-02,Bluetooth Speaker,1,3329.14,0.0,3329.14
ORD-0005,2026-08-04,Smartphone,1,28442.39,0.05,27020.27
ORD-0042,2026-08-04,Tablet,1,22813.78,0.05,21673.09
ORD-0096,2026-08-04,Monitor,2,14464.1,0.05,27481.79
ORD-0072,2026-08-05,USB Hub,1,1477.25,0.0,1477.25
ORD-0089,2026-08-05,Tablet,1,22059.75,0.02,21618.56
ORD-0116,2026-08-05,Desk Lamp,1,1757.09,0.08,1616.52
ORD-0117,2026-08-05,Webcam,1,2948.04,0.02,2889.08
ORD-0123,2026-08-05,Smartphone,1,28497.11,0.05,27072.25
ORD-0031,2026-08-06,Tablet,1,21777.73,0.0,21777.73
ORD-0034,2026-08-06,WiFi Adapter,1,1037.01,0.02,1016.27
ORD-0088,2026-08-06,Smartwatch,1,5283.05,0.02,5177.39
ORD-0099,2026-08-06,SSD 1TB,1,7160.53,0.0,7160.53
ORD-0050,2026-08-07,Printer,2,12215.49,0.0,24430.98
ORD-0062,2026-08-07,Bluetooth Speaker,2,3166.43,0.02,6206.2
ORD-0107,2026-08-07,Gaming Chair,2,14066.04,0.0,28132.08
ORD-0004,2026-08-09,Bluetooth Speaker,2,3095.26,0.0,6190.52
ORD-0017,2026-08-09,Router,1,4101.19,0.02,4019.17
ORD-0058,2026-08-09,Tablet,1,21786.46,0.0,21786.46
ORD-0083,2026-08-09,Bluetooth Speaker,1,3085.72,0.05,2931.43
ORD-0092,2026-08-10,SSD 1TB,1,7347.94,0.05,6980.54
ORD-0106,2026-08-10,Mouse,1,1135.44,0.0,1135.44
ORD-0124,2026-08-10,Router,1,4224.77,0.05,4013.53
ORD-0142,2026-08-10,Router,1,3977.29,0.05,3778.43
ORD-0016,2026-08-11,Webcam,1,2889.04,0.02,2831.26
ORD-0021,2026-08-11,WiFi Adapter,1,1056.04,0.05,1003.24
ORD-0013,2026-08-12,Keyboard,1,2069.94,0.0,2069.94
ORD-0084,2026-08-13,Router,2,4257.65,0.0,8515.3
ORD-0109,2026-08-13,Gaming Chair,2,13016.89,0.0,26033.78
ORD-0114,2026-08-13,SSD 1TB,1,6926.57,0.0,6926.57
ORD-0150,2026-08-13,Monitor,1,14709.42,0.1,13238.48
ORD-0126,2026-08-15,Gaming Chair,2,13505.89,0.08,24850.84
ORD-0048,2026-08-16,Smartwatch,1,5329.04,0.08,4902.72
ORD-0138,2026-08-16,Gaming Chair,1,12934.09,0.02,12675.41
ORD-0001,2026-08-17,Smartphone,1,28663.16,0.08,26370.11
ORD-0006,2026-08-17,Monitor,1,15184.03,0.1,13665.63
ORD-0030,2026-08-17,Laptop,1,65993.01,0.0,65993.01
ORD-0047,2026-08-17,Laptop,1,61836.84,0.0,61836.84
ORD-0090,2026-08-17,Smartwatch,1,5565.73,0.02,5454.42
ORD-0133,2026-08-17,Webcam,1,2869.02,0.05,2725.57
ORD-0007,2026-08-18,External HDD,1,6144.17,0.02,6021.29
ORD-0014,2026-08-18,Bluetooth Speaker,1,3307.8,0.05,3142.41
ORD-0027,2026-08-18,Mouse,1,1167.2,0.0,1167.2
ORD-0051,2026-08-18,WiFi Adapter,3,1052.99,0.02,3095.79
ORD-0076,2026-08-18,USB Hub,1,1502.56,0.02,1472.51
ORD-0087,2026-08-18,Webcam,1,2717.14,0.08,2499.77
ORD-0065,2026-08-20,Gaming Chair,1,13652.98,0.0,13652.98
ORD-0012,2026-08-21,Bluetooth Speaker,2,3118.72,0.0,6237.44
ORD-0061,2026-08-21,Mouse,1,1204.43,0.0,1204.43
ORD-0100,2026-08-21,Smartwatch,1,5461.93,0.02,5352.69
ORD-0019,2026-08-22,WiFi Adapter,1,1071.14,0.0,1071.14
ORD-0082,2026-08-22,WiFi Adapter,1,1104.32,0.05,1049.1
ORD-0111,2026-08-22,Smartphone,1,26968.62,0.05,25620.19
ORD-0077,2026-08-23,WiFi Adapter,1,1118.42,0.0,1118.42
ORD-0131,2026-08-23,Smartwatch,1,5566.55,0.0,5566.55
ORD-0046,2026-08-25,Gaming Chair,2,13201.81,0.02,25875.55
ORD-0026,2026-08-26,Printer,1,13203.76,0.0,13203.76
ORD-0081,2026-08-26,External HDD,1,6527.64,0.0,6527.64
ORD-0145,2026-08-26,Webcam,1,2746.44,0.08,2526.72
ORD-0147,2026-08-26,WiFi Adapter,1,1078.73,0.0,1078.73
ORD-0067,2026-08-27,Mechanical Keyboard,1,4600.48,0.0,4600.48
ORD-0074,2026-08-27,Webcam,1,2935.29,0.05,2788.53
ORD-0091,2026-08-27,Tablet,1,20911.55,0.0,20911.55
ORD-0095,2026-08-28,Smartphone,1,28771.74,0.0,28771.74
ORD-0035,2026-08-29,Monitor,1,13773.95,0.05,13085.25
ORD-0059,2026-08-29,Laptop,1,67374.02,0.08,61984.1
ORD-0075,2026-08-30,Keyboard,2,2237.62,0.05,4251.48
ORD-0115,2026-08-30,Printer,1,12704.61,0.05,12069.38
ORD-0102,2026-08-31,Printer,2,13005.34,0.0,26010.68
ORD-0136,2026-08-31,Mechanical Keyboard,1,5082.43,0.05,4828.31
